Service 024 | DUPLICATE | Amtrak Northeast Regional #94 (Boston - Depot) 22:20 00:26 | Train 1 | ACS-64 V AMTK50
Service 002 | DUPLICATE | Amtrak Acela Express #2153 (Boston - Providence) 05:57 00:39 | Train 1 | Acela Express Amtrak
Service 003 | DUPLICATE | Amtrak Acela Express #2155 (Boston - Providence) 07:12 00:39 | Train 1 | Acela Express Amtrak
Service 006 | DUPLICATE | Amtrak Acela Express #2163 (Boston - Providence) 10:58 00:38 | Train 1 | Acela Express Amtrak
Service 007 | DUPLICATE | Amtrak Acela Express #2150 (Providence - Boston) 11:04 00:39 | Train 1 | Acela Express Amtrak
Service 008 | DUPLICATE | Amtrak Acela Express #2165 (Boston - Providence) 12:02 00:41 | Train 1 | Acela Express Amtrak
Service 009 | DUPLICATE | Amtrak Acela Express #2167 (Boston - Providence) 12:57 00:40 | Train 1 | Acela Express Amtrak
Service 010 | DUPLICATE | Amtrak Acela Express #2154 (Providence - Boston) 13:02 00:40 | Train 1 | Acela Express Amtrak
Service 011 | DUPLICATE | Amtrak Acela Express #2171 (Boston - Providence) 15:02 00:40 | Train 1 | Acela Express Amtrak
Service 013 | DUPLICATE | Amtrak Acela Express #2173 (Boston - Providence) 16:07 00:40 | Train 1 | Acela Express Amtrak
Service 015 | DUPLICATE | Amtrak Acela Express #2175 (Boston - Providence) 17:17 00:40 | Train 1 | Acela Express Amtrak
Service 018 | DUPLICATE | Amtrak Acela Express #2168 (Providence - Boston) 20:05 00:41 | Train 1 | Acela Express Amtrak
Service 019 | DUPLICATE | Amtrak Acela Express #2170 (Providence - Boston) 21:00 00:41 | Train 1 | Acela Express Amtrak
Service 020 | DUPLICATE | Amtrak Acela Express #2172 (Providence - Boston) 22:10 00:41 | Train 1 | Acela Express Amtrak
Service 001 | DUPLICATE | MBTA Franklin #701 (Depot - Boston) 03:00 00:08 | Train 1 | CTC-3 MBTA
Service 002 | DUPLICATE | MBTA Worcester #501 (Depot - Boston) 04:00 00:09 | Train 1 | CTC-3 MBTA
Service 003 | DUPLICATE | MBTA Providence #801 (Depot - Boston) 04:50 00:08 | Train 1 | CTC-3 MBTA
Service 004 | DUPLICATE | MBTA Worcester #583 (Depot - Boston) 04:55 00:08 | Train 1 | CTC-3 MBTA
Service 005 | DUPLICATE | MBTA Providence #800 (Providence - Boston) 04:58 01:18 | Train 1 | CTC-3 MBTA
Service 006 | DUPLICATE | MBTA Worcester #503 (Depot - Boston) 05:20 00:09 | Train 1 | CTC-3 MBTA
Service 007 | DUPLICATE | MBTA Providence #802 (Providence - Boston) 05:23 01:13 | Train 1 | CTC-3 MBTA
Service 008 | DUPLICATE | MBTA Worcester #505 (Depot - Boston) 05:35 00:09 | Train 1 | CTC-3 MBTA
Service 009 | DUPLICATE | MBTA Providence #804 (Providence - Boston) 05:58 01:03 | Train 1 | CTC-3 MBTA
Service 015 | DUPLICATE | MBTA Franklin #702 (Readville - Boston) 06:50 00:18 | Train 1 | CTC-3 MBTA
Service 016 | DUPLICATE | MBTA Attleboro #842 (Attleboro - Boston) 07:11 00:55 | Train 1 | CTC-3 MBTA
Service 019 | DUPLICATE | MBTA Providence #810 (Providence - Boston) 07:28 01:06 | Train 1 | CTC-3 MBTA
Service 021 | DUPLICATE | MBTA Providence #812 (Providence - Boston) 07:48 01:04 | Train 1 | CTC-3 MBTA
Service 026 | DUPLICATE | MBTA Franklin #742 (Readville - Boston) 08:49 00:20 | Train 1 | CTC-3 MBTA
Service 027 | DUPLICATE | MBTA Stoughton #908 (Stoughton - Boston) 09:13 00:37 | Train 1 | CTC-3 MBTA
Service 029 | DUPLICATE | MBTA Worcester #511 (Depot - Boston) 09:59 00:09 | Train 1 | CTC-3 MBTA
Service 030 | DUPLICATE | MBTA Franklin #710 (Readville - Boston) 10:06 00:18 | Train 1 | CTC-3 MBTA
Service 031 | DUPLICATE | MBTA Stoughton #910 (Stoughton - Boston) 10:38 00:37 | Train 1 | CTC-3 MBTA
Service 032 | DUPLICATE | MBTA Providence #811 (Depot - Boston) 10:50 00:09 | Train 1 | CTC-3 MBTA
Service 033 | DUPLICATE | MBTA Providence #818 (Providence - Boston) 11:13 01:12 | Train 1 | CTC-3 MBTA
Service 034 | DUPLICATE | MBTA Worcester #513 (Depot - Boston) 11:25 00:05 | Train 1 | CTC-3 MBTA
Service 035 | DUPLICATE | MBTA Franklin #712 (Readville - Boston) 11:38 00:18 | Train 1 | CTC-3 MBTA
Service 036 | DUPLICATE | MBTA Stoughton #911 (Depot - Boston) 12:50 00:09 | Train 1 | CTC-3 MBTA
Service 038 | DUPLICATE | MBTA Providence #813 (Depot - Boston) 13:05 00:08 | Train 1 | CTC-3 MBTA
Service 039 | DUPLICATE | MBTA Providence #820 (Providence - Boston) 13:09 01:09 | Train 1 | CTC-3 MBTA
Service 040 | DUPLICATE | MBTA Fairmount #767 (Depot - Boston) 13:20 00:09 | Train 1 | CTC-3 MBTA
Service 042 | DUPLICATE | MBTA Franklin #713 (Depot - Boston) 14:05 00:08 | Train 1 | CTC-3 MBTA
Service 043 | DUPLICATE | MBTA Stoughton #912 (Stoughton - Boston) 14:13 00:33 | Train 1 | CTC-3 MBTA
Service 045 | DUPLICATE | MBTA Franklin #715 (Depot - Boston) 14:50 00:05 | Train 1 | CTC-3 MBTA
Service 047 | DUPLICATE | MBTA Framingham #591 (Depot - Boston) 15:30 00:09 | Train 1 | CTC-3 MBTA
Service 048 | DUPLICATE | MBTA Worcester #519 (Depot - Boston) 15:40 00:09 | Train 1 | CTC-3 MBTA
Service 049 | DUPLICATE | MBTA Franklin #717 (Depot to Boston) 15:45 00:06 | Train 1 | CTC-3 MBTA
Service 050 | DUPLICATE | MBTA Norwood Central #743 (Depot - Boston) 15:50 00:10 | Train 1 | CTC-3 MBTA
Service 053 | DUPLICATE | MBTA Needham #617 (Depot - Boston) 16:23 00:08 | Train 1 | CTC-3 MBTA
Service 056 | DUPLICATE | MBTA Stoughton #914 (Stoughton - Boston) 16:28 00:36 | Train 1 | CTC-3 MBTA
Service 057 | DUPLICATE | MBTA Stoughton #917 (Depot - Boston) 16:46 00:11 | Train 1 | CTC-3 MBTA
Service 058 | DUPLICATE | MBTA Needham #619 (Depot to Boston) 16:55 00:05 | Train 1 | CTC-3 MBTA
Service 060 | DUPLICATE | MBTA Providence #828 (Providence - Boston) 17:18 01:03 | Train 1 | CTC-3 MBTA
Service 064 | DUPLICATE | MBTA Franklin #722 (Readville - Boston) 17:51 00:23 | Train 1 | CTC-3 MBTA
Service 065 | DUPLICATE | MBTA Providence #830 (Providence - Boston) 18:00 01:07 | Train 1 | CTC-3 MBTA
Service 070 | DUPLICATE | MBTA Stoughton #922 (Stoughton Layover - Boston) 19:37 00:31 | Train 1 | CTC-3 MBTA
Service 071 | DUPLICATE | MBTA Franklin #726 (Readville - Boston) 20:25 00:18 | Train 1 | CTC-3 MBTA
Service 072 | DUPLICATE | MBTA Stoughton #924 (Stoughton - Boston) 20:33 00:33 | Train 1 | CTC-3 MBTA
Service 073 | DUPLICATE | MBTA Stoughton #925 (Depot - Boston) 21:10 00:05 | Train 1 | CTC-3 MBTA
Service 076 | DUPLICATE | MBTA Providence #838 (Providence - Boston) 22:28 01:11 | Train 1 | CTC-3 MBTA
Service 001 | DUPLICATE | MBTA Providence #801 (Boston - Providence) 05:28 01:01 | Train 1 | F40PH-3C MBTA
Service 002 | DUPLICATE | MBTA Providence #803 (Boston - Providence) 06:29 01:07 | Train 1 | F40PH-3C MBTA
Service 004 | DUPLICATE | MBTA Stoughton #903 (Boston - Stoughton) 06:55 00:36 | Train 1 | F40PH-3C MBTA
Service 005 | DUPLICATE | MBTA Providence #805 (Boston - Providence) 07:23 01:05 | Train 1 | F40PH-3C MBTA
Service 006 | DUPLICATE | MBTA Stoughton #905 (Boston - Stoughton) 07:33 00:36 | Train 1 | F40PH-3C MBTA
Service 007 | DUPLICATE | MBTA Kingston #034 (Mid-Day Storage) 07:34 00:09 | Train 1 | F40PH-3C MBTA
Service 008 | DUPLICATE | MBTA Providence #806 (Mid-Day Storage) 07:52 00:09 | Train 1 | F40PH-3C MBTA
Service 009 | DUPLICATE | MBTA Worcester #506 (Boston - Depot) 07:54 00:09 | Train 1 | F40PH-3C MBTA
Service 010 | DUPLICATE | MBTA Greenbush #074 (Mid-Day Storage) 08:14 00:09 | Train 1 | F40PH-3C MBTA
Service 011 | DUPLICATE | MBTA Attleboro #842 (Mid-Day Storage) 08:15 00:13 | Train 1 | F40PH-3C MBTA
Service 012 | DUPLICATE | MBTA Stoughton #907 (Boston - Stoughton) 08:21 00:36 | Train 1 | F40PH-3C MBTA
Service 013 | DUPLICATE | MBTA Franklin #706 (Mid-Day Storage) 08:25 00:09 | Train 1 | F40PH-3C MBTA
Service 020 | DUPLICATE | MBTA Fairmount #756 (Mid-Day Storage) 09:23 00:08 | Train 1 | F40PH-3C MBTA
Service 021 | DUPLICATE | MBTA Providence #807 (Boston - Providence) 09:33 01:06 | Train 1 | F40PH-3C MBTA
Service 022 | DUPLICATE | MBTA Franklin #705 (Boston - Readville) 09:38 00:17 | Train 1 | F40PH-3C MBTA | Boston - Providence Timetable
Service 034 | DUPLICATE | MBTA Franklin #711 (Boston - Readville) 13:33 00:19 | Train 1 | F40PH-3C MBTA | Boston - Providence Timetable
Service 034 | DUPLICATE | MBTA Franklin #711 (Boston - Readville) 13:33 00:19 | Train 1 | F40PH-3C MBTA | Boston - Providence Timetable
Service 063 | DUPLICATE | MBTA Franklin #746 (Mid-Day Storage) 19:39 00:06 | Train 1 | F40PH-3C MBTA | Boston - Providence Timetable
Service 063 | DUPLICATE | MBTA Franklin #746 (Mid-Day Storage) 19:39 00:06 | Train 1 | F40PH-3C MBTA | Boston - Providence Timetable
Service 063 | DUPLICATE | MBTA Franklin #746 (Mid-Day Storage) 19:39 00:06 | Train 1 | F40PH-3C MBTA | Boston - Providence Timetable
